,Partner,Product,2015,2016,2017,2018,2019,2020,2021,2022,Period/Period % Change (Value),Reporter Code,Partner Code,Product Code,
"1,""Canada"",""1"",""Sunflowerseed Oil"",""28,900"",""29,512"",""25,599"",""28,715"",""30,183"",""34,075"",""51,439"",""65,922"",""28"",""US"",""CA"",""0227AT"","
"1,""Canada"",""2"",""Palm Oil"",""6,215"",""8,385"",""16,289"",""12,733"",""4,102"",""3,721"",""4,242"",""10,349"",""144"",""US"",""CA"",""0216AT"","
"1,""Canada"",""3"",""Olive Oil"",""10,442"",""12,864"",""10,986"",""10,664"",""6,305"",""2,779"",""3,301"",""2,661"",""-19"",""US"",""CA"",""0217AT"","
"2,""Mexico"",""1"",""Sunflowerseed Oil"",""4,046"",""9,974"",""5,639"",""15,641"",""17,450"",""9,137"",""12,586"",""12,491"",""-1"",""US"",""MX"",""0227AT"","
"2,""Mexico"",""2"",""Olive Oil"",""5,755"",""3,919"",""4,987"",""5,707"",""3,701"",""2,432"",""3,095"",""4,162"",""34"",""US"",""MX"",""0217AT"","
"2,""Mexico"",""3"",""Palm Oil"",""8,445"",""5,594"",""5,150"",""1,244"",""939"",""462"",""782"",""1,864"",""138"",""US"",""MX"",""0216AT"","
"3,""Korea, South"",""1"",""Sunflowerseed Oil"",""23"",""184"",""146"",""193"",""883"",""2,485"",""2,774"",""4,821"",""74"",""US"",""KS"",""0227AT"","
"3,""Korea, South"",""2"",""Olive Oil"",""231"",""45"",""142"",""144"",""277"",""599"",""546"",""302"",""-45"",""US"",""KS"",""0217AT"","
"3,""Korea, South"",""3"",""Palm Oil"",""40"",""46"",""0"",""0"",""29"",""0"",""0"",""4"","""",""US"",""KS"",""0216AT"","
"4,""Taiwan"",""1"",""Sunflowerseed Oil"",""943"",""895"",""1,218"",""1,261"",""1,082"",""1,085"",""1,214"",""1,816"",""50"",""US"",""TW"",""0227AT"","
"4,""Taiwan"",""2"",""Olive Oil"",""573"",""456"",""1,803"",""159"",""38"",""244"",""270"",""277"",""2"",""US"",""TW"",""0217AT"","
"5,""Honduras"",""1"",""Sunflowerseed Oil"",""491"",""1,059"",""915"",""1,022"",""471"",""139"",""604"",""1,224"",""103"",""US"",""HO"",""0227AT"","
"5,""Honduras"",""2"",""Olive Oil"",""58"",""332"",""192"",""67"",""52"",""27"",""120"",""81"",""-33"",""US"",""HO"",""0217AT"","
"5,""Honduras"",""3"",""Palm Oil"",""0"",""16"",""102"",""79"",""19"",""6"",""0"",""0"","""",""US"",""HO"",""0216AT"","
"6,""United Kingdom"",""1"",""Olive Oil"",""16"",""18"",""16"",""56"",""28"",""21"",""30"",""1,112"",""3,575"",""US"",""UK"",""0217AT"","
"6,""United Kingdom"",""2"",""Sunflowerseed Oil"",""0"",""11"",""10"",""0"",""67"",""78"",""92"",""46"",""-50"",""US"",""UK"",""0227AT"","
"6,""United Kingdom"",""3"",""Palm Oil"",""6"",""0"",""0"",""5"",""0"",""118"",""0"",""0"","""",""US"",""UK"",""0216AT"","
"7,""Senegal"",""1"",""Sunflowerseed Oil"",""0"",""0"",""0"",""0"",""0"",""0"",""245"",""751"",""207"",""US"",""SG"",""0227AT"","
"8,""Netherlands"",""1"",""Sunflowerseed Oil"",""123"",""198"",""121"",""148"",""44"",""128"",""199"",""565"",""184"",""US"",""NL"",""0227AT"","
"8,""Netherlands"",""2"",""Olive Oil"",""20"",""0"",""26"",""185"",""14"",""3,059"",""3,810"",""28"",""-99"",""US"",""NL"",""0217AT"","
"8,""Netherlands"",""3"",""Palm Oil"",""13"",""16"",""5"",""7"",""0"",""0"",""0"",""0"","""",""US"",""NL"",""0216AT"","
"9,""Japan"",""1"",""Sunflowerseed Oil"",""4,282"",""4,225"",""3,228"",""667"",""622"",""443"",""1,258"",""346"",""-73"",""US"",""JA"",""0227AT"","
"9,""Japan"",""2"",""Olive Oil"",""344"",""574"",""621"",""127"",""207"",""114"",""62"",""108"",""74"",""US"",""JA"",""0217AT"","
"9,""Japan"",""3"",""Palm Oil"",""321"",""856"",""775"",""1,299"",""894"",""1,247"",""6"",""58"",""864"",""US"",""JA"",""0216AT"","
"10,""Panama"",""1"",""Olive Oil"",""110"",""384"",""437"",""588"",""470"",""649"",""1,754"",""278"",""-84"",""US"",""PM"",""0217AT"","
"10,""Panama"",""2"",""Palm Oil"",""0"",""0"",""3"",""29"",""84"",""0"",""101"",""5"",""-95"",""US"",""PM"",""0216AT"","
"10,""Panama"",""3"",""Sunflowerseed Oil"",""0"",""23"",""223"",""0"",""0"",""0"",""0"",""0"","""",""US"",""PM"",""0227AT"","
"11,""Haiti"",""1"",""Olive Oil"",""90"",""127"",""3"",""9"",""219"",""45"",""73"",""272"",""271"",""US"",""HA"",""0217AT"","
